                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.92737,                0.74202,                 1.0593,                0.82711,                 0.8362,                0.88001,                0.71046,                0.82329,                0.57409,                0.95329,             9.3082e-05,             9.3082e-05,             9.3082e-05
                    113,                0.89934,                0.69673,                  1.038,                0.81757,                0.82681,                0.86962,                0.70479,                0.81872,                0.57678,                0.94993,             9.2846e-05,             9.2846e-05,             9.2846e-05
                    114,                0.90724,                0.72581,                 1.0619,                0.86812,                0.82093,                0.88305,                 0.7148,                0.82027,                0.57907,                0.95097,             9.2611e-05,             9.2611e-05,             9.2611e-05
                    115,                0.94084,                0.74164,                 1.0742,                0.83791,                0.83342,                0.87955,                0.70274,                0.82274,                0.58218,                0.95277,             9.2375e-05,             9.2375e-05,             9.2375e-05
                    116,                0.90166,                0.70878,                 1.0479,                0.88138,                0.81131,                0.87563,                0.70213,                0.81283,                0.57743,                0.94908,             9.2139e-05,             9.2139e-05,             9.2139e-05
                    117,                0.93142,                0.70889,                  1.049,                0.86738,                 0.8162,                0.87866,                0.69912,                0.81609,                 0.5736,                0.94627,             9.1904e-05,             9.1904e-05,             9.1904e-05
                    118,                0.88633,                 0.7066,                  1.036,                0.86609,                0.81719,                0.87988,                0.69839,                0.83421,                0.57608,                0.95507,             9.1668e-05,             9.1668e-05,             9.1668e-05
                    119,                0.92946,                0.70947,                 1.0586,                0.90651,                0.79457,                0.87954,                0.70648,                 0.8139,                0.56612,                0.94699,             9.1432e-05,             9.1432e-05,             9.1432e-05
                    120,                0.88809,                 0.6958,                 1.0407,                0.87871,                0.81693,                0.88397,                0.70934,                0.79517,                0.56171,                0.94189,             9.1197e-05,             9.1197e-05,             9.1197e-05
                    121,                0.88448,                0.66827,                 1.0333,                0.89749,                0.80935,                 0.8863,                0.71484,                0.80189,                0.56177,                0.94223,             9.0961e-05,             9.0961e-05,             9.0961e-05
                    122,                0.93095,                0.73054,                 1.0398,                0.91993,                0.80886,                0.88947,                0.71176,                0.79121,                0.56052,                0.93839,             9.0726e-05,             9.0726e-05,             9.0726e-05
                    123,                0.92633,                0.72488,                 1.0491,                0.87364,                0.82353,                0.88332,                0.71151,                0.79388,                0.56257,                0.93892,              9.049e-05,              9.049e-05,              9.049e-05
                    124,                0.92005,                0.70286,                  1.052,                0.87966,                0.82631,                0.88665,                0.72091,                0.79916,                0.56457,                0.94217,             9.0254e-05,             9.0254e-05,             9.0254e-05
                    125,                0.87516,                0.68496,                 1.0375,                0.88849,                0.82249,                0.88957,                 0.7184,                0.80869,                0.56066,                0.94359,             9.0019e-05,             9.0019e-05,             9.0019e-05
                    126,                0.91689,                0.70373,                  1.052,                0.90331,                0.81816,                0.89303,                0.71557,                0.79249,                0.55825,                 0.9387,             8.9783e-05,             8.9783e-05,             8.9783e-05
                    127,                0.90132,                 0.6938,                 1.0402,                0.88747,                0.82463,                0.88773,                0.71749,                0.78688,                0.54682,                0.93773,             8.9547e-05,             8.9547e-05,             8.9547e-05
                    128,                 0.8833,                0.71348,                 1.0482,                0.86171,                0.82724,                0.88145,                 0.7138,                0.79118,                0.55397,                0.93942,             8.9312e-05,             8.9312e-05,             8.9312e-05
                    129,                 0.8973,                0.68448,                 1.0453,                0.89235,                0.81698,                0.88608,                0.72165,                0.78504,                0.54559,                0.93371,             8.9076e-05,             8.9076e-05,             8.9076e-05
                    130,                0.87886,                0.68116,                 1.0259,                0.91444,                0.81296,                0.89477,                0.72226,                 0.7711,                0.54021,                 0.9301,             8.8841e-05,             8.8841e-05,             8.8841e-05
                    131,                0.87113,                0.70359,                 1.0304,                0.90668,                0.81461,                0.88776,                0.72168,                0.78191,                0.55108,                0.93384,             8.8605e-05,             8.8605e-05,             8.8605e-05
                    132,                0.85518,                0.67966,                 1.0306,                0.90626,                0.80415,                0.88567,                0.72409,                 0.7766,                0.54342,                0.93154,             8.8369e-05,             8.8369e-05,             8.8369e-05
                    133,                 0.9119,                0.70648,                 1.0542,                0.85787,                0.83112,                0.89181,                0.72723,                0.77136,                0.54154,                0.92831,             8.8134e-05,             8.8134e-05,             8.8134e-05
                    134,                0.88844,                0.69007,                 1.0413,                 0.9081,                0.80523,                0.88932,                0.72036,                0.77685,                0.54298,                0.93039,             8.7898e-05,             8.7898e-05,             8.7898e-05
                    135,                0.88427,                0.69189,                 1.0426,                0.90705,                0.81997,                 0.8948,                0.72809,                0.76996,                 0.5365,                0.93028,             8.7663e-05,             8.7663e-05,             8.7663e-05
                    136,                0.86901,                 0.6677,                 1.0188,                0.91469,                0.81399,                0.88988,                0.72978,                0.76636,                0.53618,                0.92799,             8.7427e-05,             8.7427e-05,             8.7427e-05
                    137,                0.87906,                0.68489,                 1.0295,                0.90137,                0.83298,                0.89714,                 0.7376,                0.76376,                0.53383,                0.92778,             8.7191e-05,             8.7191e-05,             8.7191e-05
                    138,                0.85601,                0.66209,                 1.0351,                0.92345,                0.81016,                0.89155,                0.73423,                0.75877,                0.53339,                0.92602,             8.6956e-05,             8.6956e-05,             8.6956e-05
                    139,                0.86093,                0.66402,                 1.0281,                0.89452,                0.83387,                0.89666,                0.73215,                 0.7644,                0.53128,                0.92532,              8.672e-05,              8.672e-05,              8.672e-05
                    140,                0.84921,                0.66866,                 1.0156,                0.90848,                0.82605,                0.90026,                 0.7329,                0.76538,                0.52758,                0.92816,             8.6484e-05,             8.6484e-05,             8.6484e-05
                    141,                0.86671,                0.66316,                 1.0345,                 0.9073,                0.82306,                0.89394,                0.73843,                0.75393,                0.53054,                0.92379,             8.6249e-05,             8.6249e-05,             8.6249e-05
                    142,                0.83742,                 0.6713,                 1.0128,                0.90641,                0.83238,                0.90048,                0.73644,                0.76594,                0.53802,                0.92351,             8.6013e-05,             8.6013e-05,             8.6013e-05
                    143,                0.87679,                0.65714,                 1.0224,                0.89527,                 0.8321,                0.89708,                0.73388,                0.75406,                0.53283,                0.92473,             8.5778e-05,             8.5778e-05,             8.5778e-05
                    144,                 0.8528,                0.66094,                 1.0295,                0.91971,                0.81746,                0.89516,                0.72972,                 0.7563,                0.53283,                0.92609,             8.5542e-05,             8.5542e-05,             8.5542e-05
                    145,                 0.8657,                0.68317,                 1.0391,                0.91959,                0.83215,                0.89967,                 0.7391,                0.76164,                0.53053,                0.92583,             8.5306e-05,             8.5306e-05,             8.5306e-05
                    146,                0.86655,                0.67609,                 1.0385,                0.90774,                0.83042,                0.89479,                0.72945,                0.76502,                0.53347,                0.92557,             8.5071e-05,             8.5071e-05,             8.5071e-05
